,Date,Time,Open,High,Low,Close,Total Volume,Period Volume
3704,2008-06-13,12:45:00,135.51,135.7,135.5,135.55,142640824.0,914379.0
3705,2008-06-13,12:46:00,135.54,135.59,135.53,135.54,143267096.0,626272.0
3706,2008-06-13,12:47:00,135.55,135.56,135.51,135.52,143501709.0,234613.0
3707,2008-06-13,12:48:00,135.53,135.53,135.42,135.46,144013525.0,511816.0
3708,2008-06-13,12:49:00,135.46,135.48,135.44,135.47,144276286.0,262761.0
3709,2008-06-13,12:50:00,135.47,135.51,135.4,135.4,144613057.0,336771.0
3710,2008-06-13,12:51:00,135.41,135.46,135.35,135.43,145651525.0,1038468.0
3711,2008-06-13,12:52:00,135.42,135.44,135.35,135.38,146104231.0,452706.0
3712,2008-06-13,12:53:00,135.39,135.41,135.35,135.41,146401928.0,297697.0
3713,2008-06-13,12:54:00,135.41,135.41,135.35,135.37,146619920.0,217992.0
3714,2008-06-13,12:55:00,135.37,135.45,135.35,135.45,146997161.0,377241.0
3715,2008-06-13,12:56:00,135.44,135.45,135.42,135.44,147146768.0,149607.0
3716,2008-06-13,12:57:00,135.44,135.46,135.37,135.42,147420346.0,273578.0
3717,2008-06-13,12:58:00,135.43,135.43,135.4,135.43,147502453.0,82107.0
3718,2008-06-13,12:59:00,135.43,135.46,135.42,135.43,147690668.0,188215.0
3719,2008-06-13,13:00:00,135.44,135.45,135.41,135.41,147829683.0,139015.0
3720,2008-06-13,13:01:00,135.41,135.43,135.38,135.38,148017897.0,188214.0
3721,2008-06-13,13:02:00,135.38,135.42,135.38,135.41,148123286.0,105389.0
3722,2008-06-13,13:03:00,135.4,135.44,135.33,135.35,148401836.0,278550.0
3723,2008-06-13,13:04:00,135.35,135.35,135.22,135.25,149687354.0,1285518.0
3724,2008-06-13,13:05:00,135.25,135.27,135.22,135.25,150251926.0,564572.0
3725,2008-06-13,13:06:00,135.25,135.33,135.25,135.32,150867149.0,615223.0
3726,2008-06-13,13:07:00,135.33,135.34,135.29,135.29,151090210.0,223061.0
3727,2008-06-13,13:08:00,135.29,135.29,135.13,135.17,152213534.0,1123324.0
3728,2008-06-13,13:09:00,135.17,135.18,135.06,135.16,153301987.0,1088453.0
3729,2008-06-13,13:10:00,135.17,135.21,135.13,135.18,154389241.0,1087254.0
3730,2008-06-13,13:11:00,135.18,135.22,135.14,135.2,155145647.0,746406.0
3731,2008-06-13,13:12:00,135.2,135.29,135.19,135.28,156022727.0,877080.0
3732,2008-06-13,13:13:00,135.28,135.28,135.23,135.27,156278172.0,255445.0
3733,2008-06-13,13:14:00,135.28,135.46,135.26,135.46,156926662.0,648490.0
3734,2008-06-13,13:15:00,135.46,135.49,135.39,135.42,157296848.0,370186.0
3735,2008-06-13,13:16:00,135.42,135.43,135.37,135.39,157446881.0,150033.0
3736,2008-06-13,13:17:00,135.39,135.39,135.33,135.35,157584940.0,138059.0
3737,2008-06-13,13:18:00,135.36,135.42,135.34,135.41,157751683.0,166743.0
3738,2008-06-13,13:19:00,135.41,135.44,135.34,135.38,157958477.0,206794.0
3739,2008-06-13,13:20:00,135.38,135.42,135.38,135.4,158049659.0,90082.0
3740,2008-06-13,13:21:00,135.4,135.4,135.28,135.29,158391557.0,341898.0
3741,2008-06-13,13:22:00,135.29,135.33,135.22,135.24,158676739.0,285182.0
3742,2008-06-13,13:23:00,135.24,135.46,135.24,135.44,159296451.0,619712.0
3743,2008-06-13,13:24:00,135.44,135.51,135.43,135.43,160658914.0,1362463.0
3744,2008-06-13,13:25:00,135.43,135.49,135.39,135.41,160905467.0,246553.0
3745,2008-06-13,13:26:00,135.4,135.49,135.4,135.49,161107491.0,202024.0
3746,2008-06-13,13:27:00,135.49,135.5,135.42,135.43,161220642.0,113151.0
3747,2008-06-13,13:28:00,135.44,135.44,135.38,135.38,161269036.0,48394.0
3748,2008-06-13,13:29:00,135.39,135.43,135.33,135.34,161772644.0,503608.0
3749,2008-06-13,13:30:00,135.34,135.39,135.33,135.33,162050458.0,276714.0
3750,2008-06-13,13:31:00,135.34,135.42,135.34,135.4,162182233.0,131775.0
3751,2008-06-13,13:32:00,135.41,135.41,135.24,135.24,162795921.0,613688.0
3752,2008-06-13,13:33:00,135.25,135.29,135.21,135.28,163213422.0,417501.0
3753,2008-06-13,13:34:00,135.29,135.29,135.18,135.22,163557742.0,344320.0
3754,2008-06-13,13:35:00,135.23,135.28,135.2,135.27,163916511.0,358769.0
3755,2008-06-13,13:36:00,135.27,135.3,135.25,135.3,164127717.0,201206.0
3756,2008-06-13,13:37:00,135.31,135.31,135.21,135.21,164289711.0,161994.0
3757,2008-06-13,13:38:00,135.21,135.26,135.19,135.25,164629615.0,339904.0
3758,2008-06-13,13:39:00,135.26,135.27,135.03,135.07,165413318.0,783703.0
3759,2008-06-13,13:40:00,135.07,135.07,134.98,135.05,166488137.0,1073619.0
3760,2008-06-13,13:41:00,135.05,135.06,135.0,135.02,167048879.0,560742.0
3761,2008-06-13,13:42:00,135.02,135.1,135.0,135.05,167444425.0,395546.0
3762,2008-06-13,13:43:00,135.06,135.12,135.05,135.12,167787539.0,343114.0
3763,2008-06-13,13:44:00,135.13,135.13,135.07,135.07,167879001.0,91462.0
3764,2008-06-13,13:45:00,135.07,135.12,135.05,135.07,167996275.0,117274.0
3765,2008-06-13,13:46:00,135.09,135.09,134.96,134.98,168471246.0,474971.0
3766,2008-06-13,13:47:00,134.97,134.99,134.9,134.94,169425408.0,954162.0
3767,2008-06-13,13:48:00,134.95,134.96,134.87,134.96,169974116.0,548708.0
3768,2008-06-13,13:49:00,134.95,135.07,134.94,135.06,170803950.0,829834.0
3769,2008-06-13,13:50:00,135.07,135.07,135.01,135.04,171157266.0,352116.0
3770,2008-06-13,13:51:00,135.05,135.12,135.03,135.12,171425577.0,268311.0
3771,2008-06-13,13:52:00,135.12,135.12,135.03,135.06,171770329.0,344752.0
3772,2008-06-13,13:53:00,135.06,135.08,135.02,135.04,172157300.0,321971.0
3773,2008-06-13,13:54:00,135.04,135.04,134.97,134.98,172376416.0,219116.0
3774,2008-06-13,13:55:00,134.99,135.1,134.98,135.1,172590728.0,214312.0
3775,2008-06-13,13:56:00,135.09,135.13,135.09,135.13,172747502.0,156774.0
3776,2008-06-13,13:57:00,135.13,135.18,135.11,135.16,173424497.0,676995.0
3777,2008-06-13,13:58:00,135.16,135.18,135.14,135.17,173517524.0,93027.0
3778,2008-06-13,13:59:00,135.18,135.21,135.15,135.18,173945114.0,426470.0
3779,2008-06-13,14:00:00,135.19,135.2,135.12,135.12,174143570.0,197256.0
3780,2008-06-13,14:01:00,135.13,135.13,135.01,135.08,174935402.0,791832.0
3781,2008-06-13,14:02:00,135.07,135.1,134.99,135.09,175243986.0,308584.0
3782,2008-06-13,14:03:00,135.09,135.13,135.07,135.12,175289587.0,45601.0
3783,2008-06-13,14:04:00,135.12,135.24,135.11,135.22,175547634.0,258047.0
3784,2008-06-13,14:05:00,135.21,135.22,135.07,135.11,175930820.0,383186.0
3785,2008-06-13,14:06:00,135.11,135.12,135.02,135.02,176583034.0,652214.0
3786,2008-06-13,14:07:00,135.02,135.04,134.97,134.97,177283264.0,700230.0
3787,2008-06-13,14:08:00,134.97,134.98,134.92,134.93,178189243.0,405979.0
3788,2008-06-13,14:09:00,134.93,134.97,134.9,134.95,178634201.0,444958.0
3789,2008-06-13,14:10:00,134.95,135.05,134.95,135.05,178884531.0,249030.0
3790,2008-06-13,14:11:00,135.05,135.1,135.04,135.08,179234610.0,350079.0
3791,2008-06-13,14:12:00,135.09,135.26,135.06,135.18,180066226.0,831616.0
3792,2008-06-13,14:13:00,135.19,135.24,135.09,135.13,180451546.0,384820.0
3793,2008-06-13,14:14:00,135.13,135.2,135.11,135.19,180784068.0,332522.0
3794,2008-06-13,14:15:00,135.19,135.22,135.15,135.18,181107772.0,323704.0
3795,2008-06-13,14:16:00,135.18,135.38,135.15,135.35,182070940.0,963168.0
3796,2008-06-13,14:17:00,135.36,135.46,135.34,135.38,182861324.0,790384.0
3797,2008-06-13,14:18:00,135.39,135.49,135.36,135.47,183676432.0,815108.0
3798,2008-06-13,14:19:00,135.47,135.47,135.36,135.4,184466451.0,790019.0
3799,2008-06-13,14:20:00,135.39,135.45,135.38,135.41,185309973.0,342222.0
3800,2008-06-13,14:21:00,135.41,135.44,135.31,135.34,185450814.0,140841.0
3801,2008-06-13,14:22:00,135.34,135.4,135.28,135.29,185736258.0,285444.0
3802,2008-06-13,14:23:00,135.28,135.34,135.26,135.28,186082286.0,346028.0
3803,2008-06-13,14:24:00,135.28,135.29,135.15,135.21,186505072.0,422786.0
3804,2008-06-13,14:25:00,135.19,135.3,135.18,135.3,187078395.0,573323.0
3805,2008-06-13,14:26:00,135.29,135.29,135.16,135.18,187782565.0,704170.0
3806,2008-06-13,14:27:00,135.17,135.21,135.16,135.19,187938249.0,155684.0
3807,2008-06-13,14:28:00,135.18,135.27,135.18,135.27,188105135.0,166886.0
3808,2008-06-13,14:29:00,135.26,135.35,135.24,135.3,188392742.0,287607.0
3809,2008-06-13,14:30:00,135.29,135.3,135.24,135.24,188600127.0,205985.0
3810,2008-06-13,14:31:00,135.27,135.29,135.23,135.27,188780722.0,180595.0
3811,2008-06-13,14:32:00,135.27,135.34,135.27,135.33,188933866.0,153144.0
3812,2008-06-13,14:33:00,135.33,135.33,135.25,135.29,189127246.0,193380.0
3813,2008-06-13,14:34:00,135.29,135.36,135.26,135.34,189343294.0,216048.0
3814,2008-06-13,14:35:00,135.34,135.36,135.24,135.3,190596656.0,1253362.0
3815,2008-06-13,14:36:00,135.29,135.32,135.27,135.29,190722116.0,125460.0
3816,2008-06-13,14:37:00,135.29,135.3,135.25,135.28,190897414.0,175298.0
3817,2008-06-13,14:38:00,135.28,135.29,135.24,135.24,190984394.0,86980.0
3818,2008-06-13,14:39:00,135.24,135.29,135.23,135.28,191192668.0,208274.0
3819,2008-06-13,14:40:00,135.28,135.29,135.23,135.27,191351525.0,157457.0
3820,2008-06-13,14:41:00,135.26,135.27,135.23,135.26,191442378.0,90853.0
3821,2008-06-13,14:42:00,135.26,135.29,135.26,135.26,191488867.0,46489.0
3822,2008-06-13,14:43:00,135.26,135.59,135.26,135.55,192769611.0,1280744.0
3823,2008-06-13,14:44:00,135.54,135.67,135.54,135.63,193726309.0,956698.0
3824,2008-06-13,14:45:00,135.63,135.67,135.61,135.62,194697997.0,971688.0
3825,2008-06-13,14:46:00,135.62,135.66,135.57,135.59,195083512.0,385515.0
3826,2008-06-13,14:47:00,135.59,135.61,135.57,135.59,195297278.0,213766.0
3827,2008-06-13,14:48:00,135.58,135.6,135.54,135.54,195528388.0,231110.0
3828,2008-06-13,14:49:00,135.54,135.6,135.53,135.58,195665868.0,137480.0
3829,2008-06-13,14:50:00,135.58,135.64,135.58,135.6,196022995.0,355727.0
3830,2008-06-13,14:51:00,135.6,135.61,135.5,135.55,196615344.0,592349.0
3831,2008-06-13,14:52:00,135.55,135.56,135.5,135.51,196747764.0,132420.0
3832,2008-06-13,14:53:00,135.51,135.54,135.42,135.51,197384693.0,636929.0
3833,2008-06-13,14:54:00,135.5,135.52,135.47,135.5,197632612.0,247919.0
3834,2008-06-13,14:55:00,135.49,135.6,135.49,135.58,197916144.0,283532.0
3835,2008-06-13,14:56:00,135.58,135.64,135.58,135.61,198199574.0,283430.0
3836,2008-06-13,14:57:00,135.61,135.61,135.56,135.59,198364928.0,165354.0
3837,2008-06-13,14:58:00,135.58,135.61,135.57,135.61,198487493.0,122565.0
3838,2008-06-13,14:59:00,135.6,135.64,135.59,135.63,198708830.0,221337.0
3839,2008-06-13,15:00:00,135.62,135.73,135.62,135.69,199108059.0,397729.0
3840,2008-06-13,15:01:00,135.7,135.74,135.63,135.7,200178709.0,1070650.0
3841,2008-06-13,15:02:00,135.71,135.71,135.66,135.66,200872887.0,694178.0
3842,2008-06-13,15:03:00,135.67,135.7,135.65,135.69,201135404.0,262517.0
3843,2008-06-13,15:04:00,135.68,135.68,135.65,135.67,201434757.0,299253.0
3844,2008-06-13,15:05:00,135.66,135.75,135.66,135.75,201928807.0,494050.0
3845,2008-06-13,15:06:00,135.75,135.79,135.74,135.78,202841878.0,913071.0
3846,2008-06-13,15:07:00,135.77,135.78,135.73,135.75,203129488.0,287610.0
3847,2008-06-13,15:08:00,135.75,135.78,135.75,135.77,203333046.0,203558.0
3848,2008-06-13,15:09:00,135.76,135.77,135.73,135.73,203582132.0,249086.0
3849,2008-06-13,15:10:00,135.73,135.76,135.73,135.73,203690625.0,106893.0
3850,2008-06-13,15:11:00,135.74,135.76,135.72,135.75,203864364.0,173339.0
3851,2008-06-13,15:12:00,135.75,135.78,135.74,135.76,204022012.0,157648.0
3852,2008-06-13,15:13:00,135.75,135.78,135.73,135.73,204136114.0,114102.0
3853,2008-06-13,15:14:00,135.74,135.76,135.68,135.7,204530630.0,394516.0
3854,2008-06-13,15:15:00,135.69,135.73,135.68,135.72,204603022.0,72392.0
3855,2008-06-13,15:16:00,135.72,135.76,135.71,135.73,204816368.0,213346.0
3856,2008-06-13,15:17:00,135.72,135.73,135.67,135.68,205010391.0,194023.0
3857,2008-06-13,15:18:00,135.68,135.68,135.6,135.62,205369619.0,359228.0
3858,2008-06-13,15:19:00,135.62,135.66,135.59,135.65,206152132.0,782513.0
3859,2008-06-13,15:20:00,135.65,135.71,135.64,135.66,206395484.0,243352.0
3860,2008-06-13,15:21:00,135.66,135.67,135.63,135.65,206600760.0,205276.0
3861,2008-06-13,15:22:00,135.65,135.68,135.63,135.66,206744481.0,143721.0
3862,2008-06-13,15:23:00,135.66,135.67,135.63,135.66,206887936.0,143455.0
3863,2008-06-13,15:24:00,135.66,135.8,135.66,135.79,207173233.0,285297.0
3864,2008-06-13,15:25:00,135.8,135.87,135.78,135.83,207616445.0,443212.0
3865,2008-06-13,15:26:00,135.83,135.84,135.76,135.78,207868139.0,251694.0
3866,2008-06-13,15:27:00,135.77,135.78,135.71,135.73,208146065.0,277926.0
3867,2008-06-13,15:28:00,135.71,135.73,135.63,135.63,208541047.0,369982.0
3868,2008-06-13,15:29:00,135.63,135.65,135.55,135.57,209106708.0,565661.0
3869,2008-06-13,15:30:00,135.57,135.6,135.51,135.55,209943920.0,837212.0
3870,2008-06-13,15:31:00,135.55,135.64,135.55,135.6,210514806.0,570886.0
3871,2008-06-13,15:32:00,135.59,135.62,135.58,135.59,210622347.0,107541.0
3872,2008-06-13,15:33:00,135.59,135.6,135.46,135.51,211254881.0,632534.0
3873,2008-06-13,15:34:00,135.51,135.53,135.43,135.5,212046328.0,791147.0
3874,2008-06-13,15:35:00,135.5,135.5,135.39,135.41,212451477.0,405149.0
3875,2008-06-13,15:36:00,135.41,135.44,135.34,135.39,213098894.0,647417.0
3876,2008-06-13,15:37:00,135.39,135.48,135.38,135.45,213641622.0,542728.0
3877,2008-06-13,15:38:00,135.46,135.54,135.45,135.5,214107083.0,465461.0
3878,2008-06-13,15:39:00,135.49,135.5,135.33,135.47,215183719.0,1076636.0
3879,2008-06-13,15:40:00,135.47,135.65,135.47,135.62,215780272.0,593853.0
3880,2008-06-13,15:41:00,135.62,135.86,135.62,135.84,216707603.0,926831.0
3881,2008-06-13,15:42:00,135.84,135.87,135.77,135.84,217322491.0,614888.0
3882,2008-06-13,15:43:00,135.85,135.85,135.74,135.75,217953519.0,631028.0
3883,2008-06-13,15:44:00,135.74,135.8,135.7,135.73,218614480.0,660961.0
3884,2008-06-13,15:45:00,135.72,135.73,135.68,135.7,219142438.0,527958.0
3885,2008-06-13,15:46:00,135.7,136.06,135.69,136.05,221287121.0,2144683.0
3886,2008-06-13,15:47:00,136.05,136.1,135.97,136.09,222915502.0,1628381.0
3887,2008-06-13,15:48:00,136.0,136.18,135.99,136.13,224076641.0,1161139.0
3888,2008-06-13,15:49:00,136.13,136.13,136.0,136.01,224837953.0,761312.0
3889,2008-06-13,15:50:00,136.01,136.07,136.0,136.01,226125092.0,1287139.0
3890,2008-06-13,15:51:00,136.01,136.1,136.01,136.06,226847477.0,722385.0
3891,2008-06-13,15:52:00,136.06,136.11,136.05,136.11,227213080.0,365603.0
3892,2008-06-13,15:53:00,136.11,136.14,136.1,136.12,227706324.0,493244.0
3893,2008-06-13,15:54:00,136.12,136.14,136.1,136.12,228017578.0,311254.0
3894,2008-06-13,15:55:00,136.13,136.22,136.12,136.18,228879798.0,862220.0
3895,2008-06-13,15:56:00,136.18,136.28,136.18,136.27,229895526.0,1015728.0
3896,2008-06-13,15:57:00,136.28,136.3,136.27,136.3,230772947.0,877421.0
3897,2008-06-13,15:58:00,136.3,136.32,136.28,136.3,231989971.0,1217024.0
3898,2008-06-13,15:59:00,136.3,136.36,136.28,136.35,232810190.0,820219.0
3899,2008-06-13,16:00:00,136.35,136.42,136.33,136.4,234685100.0,1874910.0
3900,2008-06-16,09:31:00,135.56,135.56,135.46,135.53,10135711.0,1204771.0
3901,2008-06-16,09:32:00,135.53,135.62,135.47,135.61,10965838.0,830127.0
3902,2008-06-16,09:33:00,135.6,135.69,135.6,135.62,11993295.0,1027457.0
3903,2008-06-16,09:34:00,135.62,135.7,135.61,135.66,12843019.0,599249.0
3904,2008-06-16,09:35:00,135.65,135.74,135.6,135.74,13614833.0,771814.0
3905,2008-06-16,09:36:00,135.73,135.78,135.7,135.75,14539024.0,924191.0
3906,2008-06-16,09:37:00,135.75,135.76,135.63,135.63,14883934.0,344910.0
3907,2008-06-16,09:38:00,135.64,135.75,135.62,135.71,15642592.0,758318.0
3908,2008-06-16,09:39:00,135.71,135.88,135.7,135.88,16616120.0,973528.0
3909,2008-06-16,09:40:00,135.86,135.9,135.82,135.84,17892302.0,1276182.0
3910,2008-06-16,09:41:00,135.85,135.94,135.81,135.93,18992149.0,1099847.0
3911,2008-06-16,09:42:00,135.93,135.97,135.89,135.92,19467049.0,474900.0
3912,2008-06-16,09:43:00,135.92,135.92,135.84,135.89,19996819.0,529770.0
3913,2008-06-16,09:44:00,135.88,135.89,135.76,135.78,20454904.0,457985.0
3914,2008-06-16,09:45:00,135.77,135.82,135.73,135.76,21666071.0,1211167.0
3915,2008-06-16,09:46:00,135.76,135.84,135.69,135.7,22609744.0,943673.0
3916,2008-06-16,09:47:00,135.7,135.71,135.64,135.7,23155796.0,546052.0
3917,2008-06-16,09:48:00,135.69,135.78,135.67,135.75,23438708.0,282912.0
